"Name","Description","Type","Options","Width","Order"
"Name","Row name in the card list; Character Name controls the printed name.","text","[]","135","0"
"Count","Editable card value. Blank values stay blank; zero is displayed literally.","numeric","[]","135","1"
"Front Template","Editable card value. Blank values stay blank; zero is displayed literally.","dropdown","[]","135","2"
"Back Template","Editable card value. Blank values stay blank; zero is displayed literally.","dropdown","[]","135","3"
"Character Name","Name printed on the card; leave empty for handwriting.","text","[]","200","4"
"Species","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","5"
"Background","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","6"
"Faction","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","7"
"Portrait","Optional asset name without extension. Blank uses drawing box; filled uses included Spartan artwork when empty.","text","[]","200","8"
"Traits","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","200","9"
"Traits Continued","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","10"
"RA","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","11"
"FI","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","12"
"SV","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","13"
"Move","Movement notation, for example 6″ / 9″.","text","[]","135","14"
"Defense","Armour value.","text","[]","135","15"
"HP","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","16"
"STR","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","17"
"AGL","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","18"
"INT","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","19"
"AW","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","20"
"WIL","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","21"
"FEL","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","22"
"LCK","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","23"
"Profile Note","Note below RP stats in the filled design.","text","[]","135","24"
"Accent","Main header color in hex.","text","[]","135","25"
"Weapon 1 Type","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","26"
"Weapon 1 Name","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","27"
"Weapon 1 Range","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","28"
"Weapon 1 AP","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","29"
"Weapon 1 Keywords","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","30"
"Weapon 2 Type","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","31"
"Weapon 2 Name","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","32"
"Weapon 2 Range","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","33"
"Weapon 2 AP","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","34"
"Weapon 2 Keywords","Editable card value. Blank values stay blank; zero is displayed literally.","text","[]","135","35"
