"Name","Description","Type","Options","Width","Order"
"Name","The name of the card","text","[]","135","0"
"Count","How many of this card appear in the deck","numeric","[]","135","1"
"Front Template","The card's front template","dropdown","[]","135","2"
"Back Template","The card's back template","dropdown","[]","135","3"
"Portrait","Asset name of the model art (transparent PNG)","text","[]","135","4"
"Faction Icon","Asset name of the faction badge","text","[]","135","5"
"Faction","Faction name (printed on the card back)","text","[]","135","6"
"Traits","Ability line printed under the title","text","[]","135","7"
"RA","Ranged skill","text","[]","135","8"
"FI","Fight skill","text","[]","135","9"
"SV","Save","text","[]","135","10"
"Move","Movement value (e.g. 2-3)","text","[]","135","11"
"Defense","Defense value","text","[]","135","12"
"HP","Hit points","text","[]","135","13"
"Left Slot","Left rail label","text","[]","135","14"
"Right Slot","Right rail label","text","[]","135","15"
"Accent","Dark faction color (hex)","text","[]","135","16"
"Accent Pale","Mid faction color (hex)","text","[]","135","17"
"Accent Wash","Light faction color (hex)","text","[]","135","18"
"Weapon 1 Type","Close Combat / Ranged","text","[]","135","19"
"Weapon 1 Name","Weapon name","text","[]","135","20"
"Weapon 1 Range","CC or R#","text","[]","135","21"
"Weapon 1 AP","Armor piercing","text","[]","135","22"
"Weapon 1 Keywords","Weapon keywords","text","[]","135","23"
"Weapon 2 Type","Close Combat / Ranged","text","[]","135","24"
"Weapon 2 Name","Weapon name","text","[]","135","25"
"Weapon 2 Range","CC or R#","text","[]","135","26"
"Weapon 2 AP","Armor piercing","text","[]","135","27"
"Weapon 2 Keywords","Weapon keywords","text","[]","135","28"
"Weapon 3 Type","Close Combat / Ranged","text","[]","135","29"
"Weapon 3 Name","Weapon name","text","[]","135","30"
"Weapon 3 Range","CC or R#","text","[]","135","31"
"Weapon 3 AP","Armor piercing","text","[]","135","32"
"Weapon 3 Keywords","Weapon keywords","text","[]","135","33"
"Weapon 4 Type","Close Combat / Ranged","text","[]","135","34"
"Weapon 4 Name","Weapon name","text","[]","135","35"
"Weapon 4 Range","CC or R#","text","[]","135","36"
"Weapon 4 AP","Armor piercing","text","[]","135","37"
"Weapon 4 Keywords","Weapon keywords","text","[]","135","38"
