"Name","Count","Front Template","Back Template","keywords","range","ap","color","art"
"MA5C Assault Rifle","1","Weapon",,"Rapid Fire, Weight of Fire (2)","R4","-","#507d2a","assault-rifle"
"BR55 Battle Rifle","1","Weapon",,"Optics, Rapid Fire, Weight of Fire (1)","R5","1","#507d2a","battle-rifle"
"M392 DMR","1","Weapon",,"Lethal (1), Optics","R6","-","#507d2a","dmr"
"M11 Combat Knife","1","Weapon",,"ESD (1)","CC","2","#507d2a","combat-knife"
"VK78 Commando","1","Weapon",,"Optics, Rapid Fire","R6","-","#507d2a","commando"
"M319 Grenade Launcher","1","Weapon",,"Frag (5), Grenade","R4","1","#507d2a","grenade-launcher"
"M319 Grenade Launcher","1","Weapon",,"Blast, EMP, Frag (3), Grenade","R4","-","#507d2a","grenade-launcher"
"M6G Magnum","1","Weapon",,"Optics, Rapid Fire","R3","-","#507d2a","magnum"
"CQS48 Bulldog","1","Weapon",,"Knockback, Lethal (1)","R2","2","#507d2a","bulldog"
"MLRS-2 Hydra","1","Weapon",,"ESD (1), Explosive, Frag (4), Lethal (1)","R4","1","#507d2a","hydra"
"H-165 Target Locator","1","Weapon",,"Blast, Explosive, Frag (6), Lethal (1), Long, Two-Uses","R6","-","#507d2a","target-locator"
"M90 Shotgun","1","Weapon",,"ESD (1), Knockback, Lethal (2)","R3","1","#507d2a","shotgun"
"SRS99-AM Sniper Rifle","1","Weapon",,"ESD (1), Lethal (1), Sniper Scope","R7","1","#507d2a","sniper-rifle"
"M41 SPNKr","1","Weapon",,"Blast, ESD (2), Frag (5), Lethal (1), Explosive, Two-Uses","R6","1","#507d2a","rocket-launcher"
"M6 Spartan Laser","1","Weapon",,"Lethal (2), Long, Optics, Weight of Fire (2)","R7","4","#507d2a","spartan-laser"
"M6C/SOCOM","1","Weapon",,"Optics","R4","-","#507d2a","silenced-magnum"
"M7S SMG","1","Weapon",,"Optics, Weight of Fire (2)","R4","-","#507d2a","silenced-smg"
"M7057 Flamethrower","1","Weapon",,"Continuous Fire, Incendiary (5), Sticky","R2","1","#507d2a","flamethrower"
"MA5K ‘Avenger’ Carbine","1","Weapon",,"Weight of Fire (3)","R3","-","#507d2a","avenger-carbine"
"M168 Demo Charge","1","Weapon",,"Blast, EMP, Lethal (1), One-Use","CC","2","#507d2a","demo-charge"
"M247 Machine Gun","1","Weapon",,"Firing Platform (1), Support Weapon, Suppression, Weight of Fire (2)","R5","1","#507d2a","machine-gun-turret"
"Missile Pod","1","Weapon",,"Blast, Lethal (2), Support Weapon","R5","2","#507d2a","missile-pod"
"M9 Frag Grenade","1","Weapon",,"Frag (5), Grenade, One-Use","R3","1","#507d2a","frag-grenade"
"Energy Dagger","1","Weapon",,"Lethal (1)","CC","2","#59357a","energy-dagger"
"Needler","1","Weapon",,"Lethal (1), Rapid Fire, Weight of Fire (1)","R3","-","#59357a","needler"
"Pulse Carbine","1","Weapon",,"ESD (1), Weight of Fire (1)","R4","1","#59357a","pulse-carbine"
"Plasma Rifle","1","Weapon",,"Continuous Fire, ESD (1), Rapid Fire","R4","1","#59357a","plasma-rifle"
"Plasma Pistol","1","Weapon",,"TBD","TBD","TBD","#59357a","plasma-pistol"
"Plasma Repeater","1","Weapon",,"ESD (1), Weight of Fire (1)","R5","1","#59357a","plasma-repeater"
"Plasma Grenade","1","Weapon",,"Frag (4), Grenade, Lethal (1), One-Use, Sticky","R3","2","#59357a","plasma-grenade"
"Concussion Rifle","1","Weapon",,"Blast, ESD (1), Frag (4), Grenade","R5","1","#59357a","concussion-rifle"
"Plasma Launcher","1","Weapon",,"Frag (4), Grenade, Lethal (1), Sticky","R5","1","#59357a","plasma-launcher"
"Needle Rifle","1","Weapon",,"Lethal (1), Optics, Rapid Fire","R6","-","#59357a","needle-rifle"
"Fuel Rod Gun","1","Weapon",,"Blast, ESD (1), Explosive, Frag (5), Lethal (1)","R4","2","#59357a","fuel-rod-gun"
"Focus Rifle","1","Weapon",,"Continuous Fire, ESD (2), Long, Lethal (1), Optics","R6","-","#59357a","focus-rifle"
"Covenant Carbine","1","Weapon",,"Knockback, Lethal (1), Optics","R6","1","#59357a","covenant-carbine"
"Energy Sword","1","Weapon",,"ESD (1), Lunge","R1","3","#59357a","energy-sword"
"Energy Sword","1","Weapon",,"ESD (2), Lethal (1)","CC","3","#59357a","energy-sword"
"Plasma Cannon","1","Weapon",,"ESD (1), Firing Platform (1), Support Weapon, Weight of Fire (1)","R4","1","#59357a","plasma-cannon"
"Spiker Rifle","1","Weapon",,"Knockback, Rapid Fire, Weight of Fire (1)","R3","-","#a80016","spiker"
"Spiker Rifle","1","Weapon",,"Lethal (1)","CC","1","#a80016","spiker"
"Shock Rifle","1","Weapon",,"ESD (2), Long, Optics, Suppression","R6","1","#a80016","shock-rifle"
